alpha_epoch,alpha_step,epoch,loss_cls_epoch,loss_cls_step,lr_epoch,lr_step,step,test_acc_epoch,test_acc_step,test_loss0,test_loss1,test_loss2,test_loss3,test_loss_epoch,test_loss_step,train_acc0_epoch,train_acc0_step,train_acc1_epoch,train_acc1_step,train_acc2_epoch,train_acc2_step,train_acc3_epoch,train_acc3_step,train_acc_epoch,train_acc_step,train_loss0_epoch,train_loss0_step,train_loss1_epoch,train_loss1_step,train_loss2_epoch,train_loss2_step,train_loss3_epoch,train_loss3_step,train_loss_epoch,train_loss_step,val_acc,val_acc0,val_acc1,val_acc2,val_acc3,val_loss,val_loss0,val_loss1,val_loss2,val_loss3
,0.004899960942566395,0,,0.5232867002487183,,9.999999747378752e-05,49,,,,,,,,,,0.9666666388511658,,0.9666666388511658,,0.9333333373069763,,0.9833333492279053,,0.9624999761581421,,0.11293139308691025,,0.07662774622440338,,0.19572801887989044,,0.1379995048046112,,0.5303430557250977,,,,,,,,,,
,0.009899676777422428,0,,0.5746694207191467,,9.999999747378752e-05,99,,,,,,,,,,0.9833333492279053,,0.9333333373069763,,0.949999988079071,,0.9833333492279053,,0.9624999761581421,,0.05933893471956253,,0.15240506827831268,,0.26206812262535095,,0.10085730254650116,,0.5817916393280029,,,,,,,,,,
,0.014898897148668766,0,,0.4295288920402527,,9.999999747378752e-05,149,,,,,,,,,,0.9666666388511658,,0.9833333492279053,,0.9666666388511658,,0.949999988079071,,0.9666666388511658,,0.06678555905818939,,0.0407562255859375,,0.16138450801372528,,0.1606025993824005,,0.4366818070411682,,,,,,,,,,
,0.019897373393177986,0,,0.4613356292247772,,9.999999747378752e-05,199,,,,,,,,,,0.9833333492279053,,0.9166666865348816,,0.8999999761581421,,0.9833333492279053,,0.9458333253860474,,0.09915358573198318,,0.1076677218079567,,0.19761206209659576,,0.056902263313531876,,0.46837228536605835,,,,,,,,,,
,0.02489485591650009,0,,0.3987494707107544,,9.999999747378752e-05,249,,,,,,,,,,1.0,,0.9666666388511658,,0.9666666388511658,,0.9166666865348816,,0.9624999761581421,,0.03571375086903572,,0.04336768761277199,,0.06569480150938034,,0.25397321581840515,,0.4057430922985077,,,,,,,,,,
,0.02989109233021736,0,,0.4054908752441406,,9.999999747378752e-05,299,,,,,,,,,,0.9833333492279053,,0.9666666388511658,,0.9333333373069763,,0.9666666388511658,,0.9624999761581421,,0.06262659281492233,,0.08462846279144287,,0.18816757202148438,,0.07006824016571045,,0.41260215640068054,,,,,,,,,,
,0.03488583862781525,0,,0.6319806575775146,,9.999999747378752e-05,349,,,,,,,,,,0.9666666388511658,,0.949999988079071,,0.9333333373069763,,0.9666666388511658,,0.9541666507720947,,0.12986595928668976,,0.16018599271774292,,0.26719221472740173,,0.07473650574684143,,0.6389657855033875,,,,,,,,,,
,0.03987884148955345,0,,0.3495168387889862,,9.999999747378752e-05,399,,,,,,,,,,1.0,,0.9833333492279053,,0.949999988079071,,0.9833333492279053,,0.9791666865348816,,0.062079861760139465,,0.09206320345401764,,0.14923329651355743,,0.04614046588540077,,0.356622576713562,,,,,,,,,,
,0.04486985132098198,0,,0.42416059970855713,,9.999999747378752e-05,449,,,,,,,,,,0.9666666388511658,,0.9833333492279053,,0.9666666388511658,,0.949999988079071,,0.9666666388511658,,0.14207583665847778,,0.09645627439022064,,0.07271374017000198,,0.11291474848985672,,0.43122535943984985,,,,,,,,,,
,,0,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3896200358867645,0.36043304204940796,0.36213117837905884,0.4440670907497406,0.3918488621711731,9.15073013305664,2.173156976699829,2.425373077392578,2.0731685161590576,2.4790334701538086
