epoch,loss_cls_epoch,loss_cls_step,lr_epoch,lr_step,step,test_acc_epoch,test_acc_step,test_loss0,test_loss1,test_loss2,test_loss3,test_loss_epoch,test_loss_step,train_acc0_epoch,train_acc0_step,train_acc1_epoch,train_acc1_step,train_acc2_epoch,train_acc2_step,train_acc3_epoch,train_acc3_step,train_acc_epoch,train_acc_step,train_loss0_epoch,train_loss0_step,train_loss1_epoch,train_loss1_step,train_loss2_epoch,train_loss2_step,train_loss3_epoch,train_loss3_step,train_loss_epoch,train_loss_step,val_acc,val_acc0,val_acc1,val_acc2,val_acc3,val_loss,val_loss0,val_loss1,val_loss2,val_loss3
0,,3.3617820739746094,,0.0005000000237487257,49,,,,,,,,,,0.5333333611488342,,0.6499999761581421,,0.44999998807907104,,0.800000011920929,,0.6083333492279053,,0.9664484858512878,,0.8655456304550171,,1.0769164562225342,,0.4528716504573822,,3.3688957691192627,,,,,,,,,,
0,,3.177159070968628,,0.0005000000237487257,99,,,,,,,,,,0.6666666865348816,,0.5666666626930237,,0.4333333373069763,,0.7833333611488342,,0.612500011920929,,0.7906743288040161,,0.9059855341911316,,1.0456095933914185,,0.4348895251750946,,3.1838901042938232,,,,,,,,,,
0,,3.354433059692383,,0.0005000000237487257,149,,,,,,,,,,0.6166666746139526,,0.5,,0.5833333134651184,,0.7833333611488342,,0.6208333373069763,,0.8671470880508423,,0.9746500849723816,,0.9273111820220947,,0.5853247046470642,,3.36142897605896,,,,,,,,,,
0,,3.341466188430786,,0.0005000000237487257,199,,,,,,,,,,0.6333333253860474,,0.5333333611488342,,0.550000011920929,,0.7166666388511658,,0.6083333492279053,,0.7947724461555481,,0.8343160152435303,,0.9914632439613342,,0.7209145426750183,,3.348393201828003,,,,,,,,,,
0,,3.0532937049865723,,0.0005000000237487257,249,,,,,,,,,,0.6833333373069763,,0.6499999761581421,,0.5166666507720947,,0.75,,0.6499999761581421,,0.6429828405380249,,0.9274129271507263,,0.939654529094696,,0.5432435274124146,,3.0602242946624756,,,,,,,,,,
0,,2.847893238067627,,0.0005000000237487257,299,,,,,,,,,,0.7166666388511658,,0.5666666626930237,,0.5166666507720947,,0.75,,0.637499988079071,,0.612733781337738,,0.852221667766571,,0.9531733393669128,,0.42976462841033936,,2.8546926975250244,,,,,,,,,,
0,,2.8546719551086426,,0.0005000000237487257,349,,,,,,,,,,0.6499999761581421,,0.5833333134651184,,0.5666666626930237,,0.800000011920929,,0.6499999761581421,,0.7215794324874878,,0.8768064975738525,,0.8352335691452026,,0.42105236649513245,,2.861722230911255,,,,,,,,,,
0,,2.540266990661621,,0.0005000000237487257,399,,,,,,,,,,0.7833333611488342,,0.699999988079071,,0.5833333134651184,,0.8666666746139526,,0.7333333492279053,,0.5545950531959534,,0.7094224095344543,,0.9411539435386658,,0.33509576320648193,,2.5470407009124756,,,,,,,,,,
0,,3.0986056327819824,,0.0005000000237487257,449,,,,,,,,,,0.75,,0.5333333611488342,,0.6166666746139526,,0.8166666626930237,,0.6791666746139526,,0.620128870010376,,1.0568333864212036,,0.9454020261764526,,0.47624123096466064,,3.1055517196655273,,,,,,,,,,
0,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4451284110546112,0.4196561276912689,0.3576735258102417,0.5637868642807007,0.4393971562385559,5.126554489135742,1.226963758468628,1.196630597114563,1.0341026782989502,1.6688576936721802
