epoch,loss_cls_epoch,loss_cls_step,lr_epoch,lr_step,step,train_acc0_epoch,train_acc0_step,train_acc1_epoch,train_acc1_step,train_acc2_epoch,train_acc2_step,train_acc3_epoch,train_acc3_step,train_acc_epoch,train_acc_step,train_loss0_epoch,train_loss0_step,train_loss1_epoch,train_loss1_step,train_loss2_epoch,train_loss2_step,train_loss3_epoch,train_loss3_step,train_loss_epoch,train_loss_step,val_acc,val_acc0,val_acc1,val_acc2,val_acc3,val_loss,val_loss0,val_loss1,val_loss2,val_loss3
0,,3.605774402618408,,0.00019999999494757503,49,,0.6000000238418579,,0.5,,0.4833333194255829,,0.6499999761581421,,0.5583333373069763,,0.8198809027671814,,0.9429718255996704,,1.0321675539016724,,0.8107544183731079,,3.605774402618408,,,,,,,,,,
0,,3.7938473224639893,,0.00019999999494757503,99,,0.4333333373069763,,0.5333333611488342,,0.5666666626930237,,0.5833333134651184,,0.5291666388511658,,0.9837338924407959,,0.9952474236488342,,0.9597676396369934,,0.8550984859466553,,3.7938473224639893,,,,,,,,,,
0,,3.326106071472168,,0.00019999999494757503,149,,0.6166666746139526,,0.6166666746139526,,0.6333333253860474,,0.6499999761581421,,0.6291666626930237,,0.8508496880531311,,0.8968505859375,,0.8801961541175842,,0.6982096433639526,,3.326106071472168,,,,,,,,,,
0,,3.0368380546569824,,0.00019999999494757503,199,,0.699999988079071,,0.6333333253860474,,0.6333333253860474,,0.7333333492279053,,0.675000011920929,,0.7133443355560303,,0.875738263130188,,0.8231328129768372,,0.6246227025985718,,3.0368380546569824,,,,,,,,,,
0,,3.0313096046447754,,0.00019999999494757503,249,,0.699999988079071,,0.6333333253860474,,0.6833333373069763,,0.6666666865348816,,0.6708333492279053,,0.7188512086868286,,0.804351270198822,,0.8198822140693665,,0.6882251501083374,,3.0313096046447754,,,,,,,,,,
0,,3.0400655269622803,,0.00019999999494757503,299,,0.6499999761581421,,0.550000011920929,,0.550000011920929,,0.75,,0.625,,0.7130820155143738,,0.890563428401947,,0.9017318487167358,,0.5346882939338684,,3.0400655269622803,,,,,,,,,,
0,,,,,306,,,,,,,,,,,,,,,,,,,,,0.631503701210022,0.6537069082260132,0.5948160886764526,0.5557461380958557,0.7217457890510559,3.2134251594543457,0.7709913849830627,0.8721961975097656,0.9502890706062317,0.6199483871459961
0,3.4747376441955566,,0.00020000053336843848,,306,0.6135584115982056,,0.541083574295044,,0.5742989182472229,,0.6353389620780945,,0.5910699963569641,,0.8388060331344604,,0.9402610063552856,,0.9434359073638916,,0.752233624458313,,3.4747376441955566,,,,,,,,,,,
1,,2.7027761936187744,,0.00019999999494757503,349,,0.6666666865348816,,0.7666666507720947,,0.5833333134651184,,0.7333333492279053,,0.6875,,0.721557080745697,,0.5689980983734131,,0.8584444522857666,,0.5537764430046082,,2.7027761936187744,,,,,,,,,,
1,,2.5566468238830566,,0.00019999999494757503,399,,0.6166666746139526,,0.7833333611488342,,0.7166666388511658,,0.8333333134651184,,0.737500011920929,,0.8351535797119141,,0.5958642363548279,,0.7168547511100769,,0.40877410769462585,,2.5566468238830566,,,,,,,,,,
1,,2.4341952800750732,,0.00019999999494757503,449,,0.7166666388511658,,0.6833333373069763,,0.75,,0.75,,0.7250000238418579,,0.6178365349769592,,0.6957391500473022,,0.6584314703941345,,0.4621879458427429,,2.4341952800750732,,,,,,,,,,
1,,2.3541975021362305,,0.00019999999494757503,499,,0.800000011920929,,0.75,,0.6333333253860474,,0.8333333134651184,,0.7541666626930237,,0.55320143699646,,0.5741382837295532,,0.8397607803344727,,0.38709691166877747,,2.3541975021362305,,,,,,,,,,
1,,2.740041732788086,,0.00019999999494757503,549,,0.7833333611488342,,0.6666666865348816,,0.6666666865348816,,0.7166666388511658,,0.7083333134651184,,0.5970942378044128,,0.7553532123565674,,0.7907994389533997,,0.5967947840690613,,2.740041732788086,,,,,,,,,,
1,,2.638333320617676,,0.00019999999494757503,599,,0.6833333373069763,,0.7166666388511658,,0.7166666388511658,,0.75,,0.7166666388511658,,0.6604296565055847,,0.7045892477035522,,0.6902911067008972,,0.5830233097076416,,2.638333320617676,,,,,,,,,,
1,,,,,613,,,,,,,,,,,,,,,,,,,,,0.6509910225868225,0.6559938788414001,0.6415094137191772,0.6234038472175598,0.6830570101737976,3.221737861633301,0.7903273105621338,0.8275803923606873,0.8644812107086182,0.7393484115600586
