epoch,loss_cls_epoch,loss_cls_step,lr_epoch,lr_step,step,train_acc0_epoch,train_acc0_step,train_acc1_epoch,train_acc1_step,train_acc2_epoch,train_acc2_step,train_acc3_epoch,train_acc3_step,train_acc_epoch,train_acc_step,train_loss0_epoch,train_loss0_step,train_loss1_epoch,train_loss1_step,train_loss2_epoch,train_loss2_step,train_loss3_epoch,train_loss3_step,train_loss_epoch,train_loss_step,val_acc,val_acc0,val_acc1,val_acc2,val_acc3,val_loss,val_loss0,val_loss1,val_loss2,val_loss3
0,,3.733759880065918,,0.00019999999494757503,49,,0.4333333373069763,,0.4833333194255829,,0.6666666865348816,,0.6666666865348816,,0.5625,,1.1856364011764526,,0.9856709837913513,,0.8939351439476013,,0.6685174703598022,,3.733759880065918,,,,,,,,,,
0,,3.4123990535736084,,0.00019999999494757503,99,,0.4000000059604645,,0.44999998807907104,,0.699999988079071,,0.8500000238418579,,0.6000000238418579,,1.0727335214614868,,1.0481852293014526,,0.823956310749054,,0.4675240218639374,,3.4123990535736084,,,,,,,,,,
0,,3.7181336879730225,,0.00019999999494757503,149,,0.44999998807907104,,0.44999998807907104,,0.5666666626930237,,0.7333333492279053,,0.550000011920929,,1.094970703125,,1.0666707754135132,,0.9559366703033447,,0.600555419921875,,3.7181336879730225,,,,,,,,,,
0,,3.161638021469116,,0.00019999999494757503,199,,0.7166666388511658,,0.46666666865348816,,0.5666666626930237,,0.800000011920929,,0.637499988079071,,0.7883188724517822,,0.9959940314292908,,0.9094685912132263,,0.46785643696784973,,3.161638021469116,,,,,,,,,,
0,,2.931659460067749,,0.00019999999494757503,249,,0.5833333134651184,,0.4833333194255829,,0.5833333134651184,,0.800000011920929,,0.612500011920929,,0.8093745112419128,,0.8896133303642273,,0.8551656007766724,,0.37750598788261414,,2.931659460067749,,,,,,,,,,
0,,,,,274,,,,,,,,,,,,,,,,,,,,,0.6527276635169983,0.6440246105194092,0.5476544499397278,0.6047548055648804,0.814476728439331,3.0501151084899902,0.784075915813446,0.9375826120376587,0.9043137431144714,0.4241420328617096
0,4.1252241134643555,,0.00020000043150503188,,274,0.5365957021713257,,0.5008186101913452,,0.5563034415245056,,0.7451336979866028,,0.5847128629684448,,1.1175599098205566,,1.136786937713623,,1.1377522945404053,,0.733123242855072,,4.1252241134643555,,,,,,,,,,,
1,,2.6401190757751465,,0.00019999999494757503,299,,0.6833333373069763,,0.5666666626930237,,0.6333333253860474,,0.8166666626930237,,0.675000011920929,,0.7094222903251648,,0.8000290393829346,,0.8210306763648987,,0.3096371293067932,,2.6401190757751465,,,,,,,,,,
1,,2.72560977935791,,0.00019999999494757503,349,,0.5833333134651184,,0.5833333134651184,,0.5666666626930237,,0.8999999761581421,,0.6583333611488342,,0.7702600955963135,,0.8208356499671936,,0.8456980586051941,,0.2888158857822418,,2.72560977935791,,,,,,,,,,
1,,2.4649009704589844,,0.00019999999494757503,399,,0.6833333373069763,,0.6833333373069763,,0.699999988079071,,0.8666666746139526,,0.7333333492279053,,0.6280385255813599,,0.7418690919876099,,0.8166534304618835,,0.27833983302116394,,2.4649009704589844,,,,,,,,,,
