epoch,loss_cls_epoch,loss_cls_step,lr_epoch,lr_step,step,test_acc_epoch,test_acc_step,test_loss0,test_loss1,test_loss2,test_loss3,test_loss_epoch,test_loss_step,train_acc0_epoch,train_acc0_step,train_acc1_epoch,train_acc1_step,train_acc2_epoch,train_acc2_step,train_acc3_epoch,train_acc3_step,train_acc_epoch,train_acc_step,train_loss0_epoch,train_loss0_step,train_loss1_epoch,train_loss1_step,train_loss2_epoch,train_loss2_step,train_loss3_epoch,train_loss3_step,train_loss_epoch,train_loss_step,val_acc,val_acc0,val_acc1,val_acc2,val_acc3,val_loss,val_loss0,val_loss1,val_loss2,val_loss3
0,,9.532380104064941,,0.00019999999494757503,49,,,,,,,,,,0.46666666865348816,,0.3333333432674408,,0.4000000059604645,,0.30000001192092896,,0.375,,2.607959032058716,,2.244063377380371,,2.284019947052002,,2.3963379859924316,,9.532380104064941,,,,,,,,,,
0,,6.036888122558594,,0.00019999999494757503,99,,,,,,,,,,0.46666666865348816,,0.5166666507720947,,0.44999998807907104,,0.4000000059604645,,0.4583333432674408,,1.677108883857727,,1.4025014638900757,,1.3665715456008911,,1.5907061100006104,,6.036888122558594,,,,,,,,,,
0,,5.388561248779297,,0.00019999999494757503,149,,,,,,,,,,0.4166666567325592,,0.3166666626930237,,0.46666666865348816,,0.38333332538604736,,0.3958333432674408,,1.3680694103240967,,1.4570220708847046,,1.1213582754135132,,1.4421112537384033,,5.388561248779297,,,,,,,,,,
0,,4.517447471618652,,0.00019999999494757503,199,,,,,,,,,,0.30000001192092896,,0.4166666567325592,,0.5333333611488342,,0.550000011920929,,0.44999998807907104,,1.2905679941177368,,1.1542764902114868,,1.0534504652023315,,1.0191528797149658,,4.517447471618652,,,,,,,,,,
0,,4.262343406677246,,0.00019999999494757503,249,,,,,,,,,,0.5333333611488342,,0.5166666507720947,,0.550000011920929,,0.5333333611488342,,0.5333333611488342,,1.1070963144302368,,1.0640238523483276,,1.011962890625,,1.079260230064392,,4.262343406677246,,,,,,,,,,
0,,4.215987205505371,,0.00019999999494757503,299,,,,,,,,,,0.4166666567325592,,0.5666666626930237,,0.5666666626930237,,0.44999998807907104,,0.5,,1.0456461906433105,,1.0134602785110474,,0.9999755620956421,,1.1569050550460815,,4.215987205505371,,,,,,,,,,
0,,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4937138259410858,0.4705137610435486,0.4723227322101593,0.5302098393440247,0.5018090009689331,4.114023208618164,1.0444992780685425,1.0401602983474731,1.0161229372024536,1.013241171836853
0,5.97293758392334,,0.00020000057702418417,,322,,,,,,,,,0.41151541471481323,,0.4583936333656311,,0.48082488775253296,,0.45255324244499207,,0.45082178711891174,,1.594664216041565,,1.4240983724594116,,1.406442642211914,,1.547734022140503,,5.97293758392334,,,,,,,,,,,
1,,4.405066013336182,,0.00019999999494757503,349,,,,,,,,,,0.4000000059604645,,0.4166666567325592,,0.4333333373069763,,0.4000000059604645,,0.4124999940395355,,1.1090413331985474,,1.1086914539337158,,1.087622046470642,,1.0997110605239868,,4.405066013336182,,,,,,,,,,
1,,3.979724168777466,,0.00019999999494757503,399,,,,,,,,,,0.4833333194255829,,0.4833333194255829,,0.6000000238418579,,0.5666666626930237,,0.5333333611488342,,1.0535237789154053,,0.982800304889679,,0.9757975339889526,,0.967602550983429,,3.979724168777466,,,,,,,,,,
1,,4.1386189460754395,,0.00019999999494757503,449,,,,,,,,,,0.4833333194255829,,0.4000000059604645,,0.6166666746139526,,0.5,,0.5,,1.0387532711029053,,1.0937459468841553,,0.9389730095863342,,1.0671467781066895,,4.1386189460754395,,,,,,,,,,
1,,3.906221628189087,,0.00019999999494757503,499,,,,,,,,,,0.46666666865348816,,0.7166666388511658,,0.4833333194255829,,0.5166666507720947,,0.5458333492279053,,1.0495198965072632,,0.8735554814338684,,1.0476765632629395,,0.9354695677757263,,3.906221628189087,,,,,,,,,,
1,,4.0456461906433105,,0.00019999999494757503,549,,,,,,,,,,0.4166666567325592,,0.5333333611488342,,0.550000011920929,,0.5833333134651184,,0.5208333134651184,,1.1006591320037842,,1.0024617910385132,,0.9997029900550842,,0.942822277545929,,4.0456461906433105,,,,,,,,,,
1,,4.230012893676758,,0.00019999999494757503,599,,,,,,,,,,0.46666666865348816,,0.4000000059604645,,0.4166666567325592,,0.5666666626930237,,0.4625000059604645,,1.0442016124725342,,1.0742268562316895,,1.171057105064392,,0.9405273199081421,,4.230012893676758,,,,,,,,,,
1,,,,,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5134768486022949,0.4844428300857544,0.5065122842788696,0.5325614809989929,0.530390739440918,4.039053916931152,1.0306950807571411,1.0129821300506592,1.0123956203460693,0.9829813838005066
1,4.066481113433838,,0.00020000057702418417,,645,,,,,,,,,0.4718833863735199,,0.49245399236679077,,0.5422782897949219,,0.5130763053894043,,0.5049229860305786,,1.0475729703903198,,1.0213407278060913,,1.0035083293914795,,0.994056761264801,,4.066481113433838,,,,,,,,,,,
2,,4.107275485992432,,0.00019999999494757503,649,,,,,,,,,,0.3499999940395355,,0.5166666507720947,,0.6166666746139526,,0.5,,0.4958333373069763,,1.1254761219024658,,1.0367227792739868,,0.9286702275276184,,1.0164062976837158,,4.107275485992432,,,,,,,,,,
2,,4.155663967132568,,0.00019999999494757503,699,,,,,,,,,,0.38333332538604736,,0.5333333611488342,,0.550000011920929,,0.36666667461395264,,0.4583333432674408,,1.1036865711212158,,0.988232433795929,,0.9983927607536316,,1.0653523206710815,,4.155663967132568,,,,,,,,,,
2,,3.8612143993377686,,0.00019999999494757503,749,,,,,,,,,,0.5666666626930237,,0.5333333611488342,,0.5666666626930237,,0.5666666626930237,,0.5583333373069763,,0.9611368775367737,,1.0171672105789185,,0.9383178949356079,,0.944592297077179,,3.8612143993377686,,,,,,,,,,
2,,3.950943946838379,,0.00019999999494757503,799,,,,,,,,,,0.4000000059604645,,0.4166666567325592,,0.6666666865348816,,0.4833333194255829,,0.49166667461395264,,1.0855876207351685,,0.979626476764679,,0.8950439691543579,,0.9906860589981079,,3.950943946838379,,,,,,,,,,
2,,3.9801840782165527,,0.00019999999494757503,849,,,,,,,,,,0.6166666746139526,,0.44999998807907104,,0.6333333253860474,,0.5,,0.550000011920929,,0.9575358033180237,,1.0758341550827026,,0.965624988079071,,0.981188952922821,,3.9801840782165527,,,,,,,,,,
2,,4.032991886138916,,0.00019999999494757503,899,,,,,,,,,,0.5166666507720947,,0.4333333373069763,,0.5833333134651184,,0.5333333611488342,,0.5166666507720947,,1.0112874507904053,,1.047509789466858,,0.985766589641571,,0.9884277582168579,,4.032991886138916,,,,,,,,,,
2,,3.848587989807129,,0.00019999999494757503,949,,,,,,,,,,0.4333333373069763,,0.6000000238418579,,0.6000000238418579,,0.5666666626930237,,0.550000011920929,,1.0584797859191895,,0.8863077759742737,,0.9673014283180237,,0.9364989995956421,,3.848587989807129,,,,,,,,,,
2,,,,,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5164616703987122,0.49583935737609863,0.5113965272903442,0.5309334397315979,0.5276772975921631,4.016331672668457,1.025418996810913,1.0002070665359497,1.0163226127624512,0.9743833541870117
2,4.0317511558532715,,0.00020000057702418417,,968,,,,,,,,,0.4799979329109192,,0.5081145167350769,,0.5429501533508301,,0.519795298576355,,0.5127145051956177,,1.0391836166381836,,1.0092275142669678,,1.0001728534698486,,0.9831686615943909,,4.0317511558532715,,,,,,,,,,,
3,,3.994050979614258,,0.00019999999494757503,999,,,,,,,,,,0.44999998807907104,,0.5666666626930237,,0.5,,0.5333333611488342,,0.512499988079071,,1.0498087406158447,,0.9659993648529053,,1.0040283203125,,0.9742146730422974,,3.994050979614258,,,,,,,,,,
3,,4.0465617179870605,,0.00019999999494757503,1049,,,,,,,,,,0.5666666626930237,,0.44999998807907104,,0.5,,0.4833333194255829,,0.5,,0.9584432244300842,,1.077478051185608,,1.0284383296966553,,0.9822021722793579,,4.0465617179870605,,,,,,,,,,
3,,4.098087310791016,,0.00019999999494757503,1099,,,,,,,,,,0.5333333611488342,,0.4833333194255829,,0.550000011920929,,0.4333333373069763,,0.5,,0.9909423589706421,,1.0397785902023315,,1.0410034656524658,,1.0263631343841553,,4.098087310791016,,,,,,,,,,
3,,4.001013278961182,,0.00019999999494757503,1149,,,,,,,,,,0.4166666567325592,,0.5,,0.4833333194255829,,0.550000011920929,,0.48750001192092896,,1.0442057847976685,,0.9481404423713684,,1.0405354499816895,,0.9681314826011658,,4.001013278961182,,,,,,,,,,
3,,4.010603904724121,,0.00019999999494757503,1199,,,,,,,,,,0.4333333373069763,,0.5166666507720947,,0.5833333134651184,,0.5833333134651184,,0.5291666388511658,,1.05731201171875,,1.02618408203125,,1.0016316175460815,,0.92547607421875,,4.010603904724121,,,,,,,,,,
3,,3.9149537086486816,,0.00019999999494757503,1249,,,,,,,,,,0.5666666626930237,,0.4166666567325592,,0.5833333134651184,,0.6333333253860474,,0.550000011920929,,1.0148762464523315,,1.0427775382995605,,0.9515055418014526,,0.9057942628860474,,3.9149537086486816,,,,,,,,,,
3,,,,,1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5185871720314026,0.5014472007751465,0.5173661112785339,0.5302098393440247,0.52532559633255,3.997584581375122,1.0234761238098145,0.9936809539794922,1.0076810121536255,0.972747266292572
3,4.0054826736450195,,0.00020000057702418417,,1291,,,,,,,,,0.488215833902359,,0.513644814491272,,0.5419681668281555,,0.5282716751098633,,0.5180251002311707,,1.0309340953826904,,1.0020251274108887,,0.9974013566970825,,0.9751215577125549,,4.0054826736450195,,,,,,,,,,,
4,,3.9472737312316895,,0.00019999999494757503,1299,,,,,,,,,,0.4833333194255829,,0.46666666865348816,,0.5666666626930237,,0.6000000238418579,,0.5291666388511658,,1.043066382408142,,1.0272501707077026,,0.9657877683639526,,0.9111694097518921,,3.9472737312316895,,,,,,,,,,
